ResponseId,survey_year,primary_affiliation,commute_miles,calculated_distance_mi,days_walk,days_bike,days_drive_alone,days_carpool,days_bus,days_other,weekly_trips,carpool_occupants,parking_location,cross_streets,university_residence,gender,ethnicity,lives_in_university_housing,enrollment_status,age,yearly_home_trips,vehicle_type,student_classification,campus_location,permanent_zipcode,parking_permit,home_travel_mode,latitude,longitude
R_1NFhr6gccS0nhnI,2024,Faculty,4.0,2.9759626485337627,0,0,3,0,0,0,3,,Permit parking on campus,Kent & Kemp,,Male,A race/ethnicity not listed here,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,60+,,Gas- sedan,,Mountain Campus (Main Campus),,Faculty / Staff,,46.85153,-114.03017
R_1mxvNnIG5oHGsgT,2024,Student,5.0,6.922492184689339,0,0,5,0,0,0,5,,Permit parking on campus,Victor & Lower Miller Creek,,Non-binary,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,17-24,,Gas - SUV,Freshman,Mountain Campus (Main Campus),,Student: Half Year,,46.81427,-114.07054
R_6Q5EqIv8EN9k8j7,2024,Student,0.6,,7,0,0,0,0,0,8,,Do not drive to campus,,Elliot Villages,Female,White or Caucasian,"Yes (e.g., residence hall, University Villages, Lewis & Clark, etc.)",Full-time,17-24,,,Senior,Mountain Campus (Main Campus),59801,,,,
R_6YX5kFBEEiYvVlf,2024,Student,5.5,3.2197385192829926,0,0,1,0,0,0,5,,On-street parking close to campus that does not require a UM permit,Scott and Otis,,Female,Native American or Alaskan Native,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,30-39,,Gas - SUV,Graduate Student,Missoula College,,,,46.89148,-114.00634
R_3gTFELmf976LAlz,2024,Staff,4.0,2.898085402745416,0,0,0,4,0,0,4,0,Permit parking on campus,Crestmont and Normans,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,60+,,,,Mountain Campus (Main Campus),,Faculty / Staff,,46.83466,-114.01127
R_7ZP2cNkjwcRiqNp,2024,Student,0.25,0.7278360301284362,7,0,0,0,0,0,20,,Do not drive to campus,5th and Ronald ,,Male,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,25-29,,,Junior,Mountain Campus (Main Campus),,,,46.86498,-113.99417
R_7hAUORjOOQ1zY7p,2024,Faculty,3.0,3.1995207086031594,0,0,5,0,2,0,7,,Permit parking on campus,39th and Russel,,Male,Asian or Pacific Islander,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,40-49,,Gas- sedan,,Mountain Campus (Main Campus),,Faculty / Staff,,46.8343,-114.01825
R_50SrSdS8rghpypl,2024,Student,2.0,,0,0,1,3,1,0,5,2,Permit parking on campus,,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,17-24,,Gas - SUV,Graduate Student,Mountain Campus (Main Campus),,,,,
R_1QEnvcdWq01DYIe,2024,Student,1.0,,0,0,0,0,7,0,13,,Do not drive to campus,,Lewis & Clark Villages,Female,White or Caucasian,"Yes (e.g., residence hall, University Villages, Lewis & Clark, etc.)",Full-time,17-24,3-5,,Junior,Missoula College,59801,,Plane,,
R_3MFLCKQvZJZLdT0,2024,Student,0.8,1.058163042374846,0,0,7,0,0,0,10,,Permit parking on campus,Higgins and North,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,17-24,1-2,Electric hybrid,Senior,Mountain Campus (Main Campus),,Student: Half Year,Car (alone),46.85242,-113.99742
R_5r7DDf7fIMOOzrq,2024,Faculty,1.5,1.8926442609656078,0,5,0,0,0,0,5,,On-street parking close to campus that does not require a UM permit,Higgins and Pattee Cyn,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,50-59,,,,Mountain Campus (Main Campus),,,,46.84159,-113.99732
R_1ZP3xCijgCLjFF9,2024,Staff,3.0,2.6795144847231493,0,0,0,0,0,0,WFH - since September,,On-street parking close to campus that does not require a UM permit,Woodland/Redwood,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,30-39,,,,Mountain Campus (Main Campus),,,,46.88774,-113.97369
R_70R2yQR7SBo8xPj,2024,Faculty,4.0,5.097877736541721,0,0,5,0,0,0,5,,Reserved parking on campus,Standish and Connery,,Male,Native American or Alaskan Native,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,40-49,,Gas - truck,,Mountain Campus (Main Campus),,Reserved,,46.89614,-114.04537
R_7f0BWHaYzIU8ZX6,2024,Student,1.0,,0,0,1,1,4,0,5,,Hourly pay parking on campus,,Lewis & Clark Villages,Non-binary,White or Caucasian,"Yes (e.g., residence hall, University Villages, Lewis & Clark, etc.)",Full-time,17-24,3-5,,Sophomore,Mountain Campus (Main Campus),59801,,Car (someone from home drives to campus and picks you up),,
R_5uJTBIAaWgchid9,2024,Faculty,2.0,2.290308132035922,0,0,0,7,0,0,5,1,Reserved parking on campus,Scott & Sherwood,,Male,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,50-59,,,,Mountain Campus (Main Campus),,Faculty / Staff,,46.88001,-114.0063
R_3HnpoY6Mt7nGDru,2024,Student,1.0,,7,0,0,0,0,0,none,,Do not drive to campus,,Residence Hall on campus,Female,White or Caucasian,"Yes (e.g., residence hall, University Villages, Lewis & Clark, etc.)",Full-time,17-24,11 or more,,Sophomore,Mountain Campus (Main Campus),59802,,Car (someone from home drives to campus and picks you up),,
R_1LbuwEaKsFBoxVa,2024,Student,1.0,,0,3,0,0,2,0,6,,Do not drive to campus,,Lewis & Clark Villages,Female,White or Caucasian,"Yes (e.g., residence hall, University Villages, Lewis & Clark, etc.)",Full-time,17-24,6-10,,Senior,Mountain Campus (Main Campus),59801,,Car (alone),,
R_3TLnozvkVyOusF3,2024,Student,0.0,,3,1,0,1,0,0,,,,,Residence Hall on campus,Female,White or Caucasian,"Yes (e.g., residence hall, University Villages, Lewis & Clark, etc.)",Full-time,17-24,1-2,,Freshman,Mountain Campus (Main Campus),,Student: Full Year,Plane,,
R_5pSGfvFbdqDrvJo,2024,Student,0.0,,5,0,0,0,0,0,0,,On-street parking close to campus that does not require a UM permit,,Residence Hall on campus,Non-binary,White or Caucasian,"Yes (e.g., residence hall, University Villages, Lewis & Clark, etc.)",Full-time,17-24,6-10,,Junior,Mountain Campus (Main Campus),59102,Student: Half Year,Car (alone),,
R_3LAkuOzYznbFu5w,2024,Student,2.0,,0,0,3,4,0,0,5,,Permit parking on campus,,Residence Hall on campus,Female,White or Caucasian,"Yes (e.g., residence hall, University Villages, Lewis & Clark, etc.)",Full-time,17-24,3-5,,Sophomore,Mountain Campus (Main Campus),59801,Student: Full Year,Carpool with others from UM,,
R_3w2uTLw5RJeUBEd,2024,Faculty,8.0,3.7617229684765094,0,0,5,0,0,0,5,,Other,Highway 200 and Speedway,,Male,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,50-59,,Gas - truck,,Missoula College,,Reserved,,46.88182,-113.93552
R_7SxhKgGoQfOgZWt,2024,Student,2.5,2.2552548834369666,0,5,0,0,0,0,5,,Do not drive to campus,12th and Washburn,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,25-29,,,Graduate Student,Mountain Campus (Main Campus),,,,46.85852,-114.02052
R_325SvFFBTAFsk3V,2024,Student,1.0,,0,0,0,0,5,0,7,,Do not drive to campus,,Lewis & Clark Villages,Female,White or Caucasian,"Yes (e.g., residence hall, University Villages, Lewis & Clark, etc.)",Full-time,17-24,1-2,,Senior,Mountain Campus (Main Campus),59812,,Plane,,
R_5HnKvxt8H7gFbTG,2024,Faculty,2.0,0.800933047281028,0,6,0,0,0,0,7,,Do not drive to campus,Spruce and broadway ,,Male,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,50-59,,,,Mountain Campus (Main Campus),,,,46.8681,-113.9806
R_5kwPt9BYYuQVVJf,2024,Staff,3.0,3.351739164389658,0,0,4,0,0,0,,,Permit parking on campus,Davis & 3rd,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,30-39,,Gas - SUV,,Mountain Campus (Main Campus),,Faculty / Staff,,46.86693,-114.03684
R_7QiNyxq5oxJDi6F,2024,Student,3.5,3.9178166303848387,0,0,5,0,0,0,5,,Permit parking on campus,Sommer & Broadway,,Female,Black or African American,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,50-59,11 or more,Gas - SUV,Graduate Student,Mountain Campus (Main Campus),,Student: Half Year,Car (alone),46.8897,-114.02886
R_6G0k0jRv1xEWubv,2024,Student,1.0,,0,0,0,0,6,0,16,,Do not drive to campus,,Lewis & Clark Villages,Male,White or Caucasian,"Yes (e.g., residence hall, University Villages, Lewis & Clark, etc.)",Full-time,17-24,,,Senior,Mountain Campus (Main Campus),59801,Student: Full Year,,,
R_3jdmi3dNCUQmBk2,2024,Staff,8.0,,0,0,2,4,0,0,6,1,Permit parking on campus,HWY 93 and Bird Lane,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,40-49,,Gas- sedan,,Mountain Campus (Main Campus),,Faculty / Staff,,,
R_7IgDPd21sGQhDZT,2024,Student,1.0,,5,1,0,0,0,0,,,Do not drive to campus,,Residence Hall on campus,Male,White or Caucasian,"Yes (e.g., residence hall, University Villages, Lewis & Clark, etc.)",Full-time,17-24,1-2,,Sophomore,Mountain Campus (Main Campus),59801,,Plane,,
R_1s7iQwUJD2vIajf,2024,Student,3.6,3.6869583768201393,0,0,0,0,5,0,6,,Hourly pay parking on campus,Paxon and 39th,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,17-24,3-5,,Senior,Mountain Campus (Main Campus),,,Car (alone),46.83425,-114.02893
R_3cTX0mbyJSh413q,2024,Student,1.0,1.2556416495770104,7,0,0,0,0,0,6,,Permit parking on campus,Spruce and Washington,,Male,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,17-24,,,Sophomore,Mountain Campus (Main Campus),,Student: Full Year,,46.8732,-113.9899
R_6lubkse2YQW0yHd,2024,Student,0.0,,7,0,0,0,0,0,0,,Lewis and Clark/Dornblaser Park and Ride,,Residence Hall on campus,Male,White or Caucasian,"Yes (e.g., residence hall, University Villages, Lewis & Clark, etc.)",Full-time,17-24,6-10,,Junior,Mountain Campus (Main Campus),59047,Student: Full Year,Car (alone),,
R_3OUBCzUU4UIkS8X,2024,Faculty,2.0,2.08593827408991,0,0,0,0,5,0,6,,Permit parking on campus,Easy street and Broadway,,Male,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,60+,,,,Mountain Campus (Main Campus),,Faculty / Staff,,46.86457,-113.95319
R_3YlCc0qRktgo68N,2024,Student,1.0,,1,0,2,0,3,0,4,,Permit parking on campus,,Residence Hall on campus,Female,White or Caucasian,"Yes (e.g., residence hall, University Villages, Lewis & Clark, etc.)",Full-time,17-24,11 or more,,Freshman,"Mountain Campus (Main Campus),Missoula College",58422,Student: Full Year,Car (alone),,
R_38Nij3rfagIJD49,2024,Faculty,10.0,,0,0,7,0,0,0,5,,Other,Reece court &Ashlyn drive,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,25-29,,Gas - SUV,,Mountain Campus (Main Campus),,,,,
R_3bQ40ho7aUyeivg,2024,Student,5.0,6.388457584271141,0,0,7,0,0,0,5,,Permit parking on campus,Abby and remington,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,25-29,3-5,Gas - SUV,Graduate Student,Missoula College,,Student: Full Year,Plane,46.89629,-114.07032
R_7gZT9a4gyNbMyR7,2024,Student,1.5,,3,0,0,0,0,0,3,,Hourly pay parking on campus,E front st & clay st,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,17-24,11 or more,,Graduate Student,Mountain Campus (Main Campus),,,Car (alone),,
R_7Xd0037pWBxMZjj,2024,Student,1.0,,0,0,1,0,5,0,11,,Reserved parking on campus,,Lewis & Clark Villages,Female,White or Caucasian,"Yes (e.g., residence hall, University Villages, Lewis & Clark, etc.)",Full-time,17-24,3-5,,Junior,Mountain Campus (Main Campus),59106,,Carpool with others from UM,,
R_7hZvUYSN5InXwbS,2024,Staff,4.6,5.226603524185232,0,0,6,0,0,0,6,,Permit parking on campus,Sunview and Longview,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,40-49,,Gas - SUV,,Mountain Campus (Main Campus),,Faculty / Staff,,46.81547,-114.03472
R_7qCaL4gIAOIH8OC,2024,Student,1.0,,4,0,2,0,1,0,2,,Lewis and Clark/Dornblaser Park and Ride,,Residence Hall on campus,Female,White or Caucasian,"Yes (e.g., residence hall, University Villages, Lewis & Clark, etc.)",Full-time,17-24,6-10,,Sophomore,Mountain Campus (Main Campus),59729,Student: Full Year,Car (alone),,
R_7g7z5FuxfUAnRer,2024,Student,1.0,1.612775701597822,0,0,1,0,3,0,3-4,,Hourly pay parking on campus,Spruce & Orange ,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,25-29,3-5,Gas - SUV,Graduate Student,Mountain Campus (Main Campus),,,Plane,46.87537,-113.99716
R_6TFTbtKxpxEXNeP,2024,Student,1.0,1.423385609486786,0,0,7,0,0,0,8,,Permit parking on campus,hollis and Kensington ,,Male,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,17-24,11 or more,Gas - SUV,Junior,Mountain Campus (Main Campus),,Student: Half Year,Car (alone),46.85334,-114.00523
R_1Uaqgk7kYONVYXU,2024,Student,5.0,5.386795123192882,0,0,4,0,0,0,4,,Lewis and Clark/Dornblaser Park and Ride,Flynn and siren,,Male,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,17-24,,Gas - SUV,Senior,Mountain Campus (Main Campus),,,,46.89239,-114.0553
R_63xuULAtmUdGjIt,2024,Student,,3.2988853869252286,0,5,0,0,0,0,5,,Missoula College parking lot,39th & Wapikyia,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,30-39,,,Sophomore,Missoula College,,,,46.83428,-114.02054
R_1TZ7h3gBkdPuAJK,2024,Faculty,0.0,,0,0,0,0,0,0,0,,Hourly pay parking on campus,NA-I live in Hamilton,,Male,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Part-time,60+,,,,Mountain Campus (Main Campus),,,,,
R_7uAw00OI82QJ3wJ,2024,Staff,5.0,9.727668085298685,0,0,5,0,0,0,5,,Reserved parking on campus,Grant Creek & Snow Bowl,,Male,A race/ethnicity not listed here,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,50-59,,Gas - truck,,Mountain Campus (Main Campus),,Faculty / Staff,,46.96351,-114.00519
R_6U9Vh7TqPKCa8i5,2024,Student,8.0,7.835251790925867,0,0,0,6,0,0,4,0,On-street parking close to campus that does not require a UM permit,Airport & Expressway,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,30-39,,,Graduate Student,Mountain Campus (Main Campus),,,,46.91999,-114.07145
R_1VJyZbLmIbAK3jp,2024,Student,2.0,1.2221732223043975,6,0,0,0,0,0,6,,Do not drive to campus,6th and Orange,,Male,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,30-39,,,Junior,Mountain Campus (Main Campus),,,,46.86403,-114.00353
R_5WryKwMjZxKsaEp,2024,Student,5.0,6.290094249835127,0,0,4,0,0,0,7,,Missoula College parking lot,Linda Vista and Eldora,,Male,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,25-29,,Gas - SUV,Sophomore,"Mountain Campus (Main Campus),Missoula College",,Student: Full Year,,46.81795,-114.06216
R_5n7dl9b6YHEWm3V,2024,Student,5.7,,0,0,5,0,0,0,5,,On-street parking close to campus that does not require a UM permit,,,Female,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,17-24,11 or more,Gas - SUV,Sophomore,Mountain Campus (Main Campus),,,Car (alone),,
R_5LzHfMztOCLLUqq,2024,Student,18.0,,0,0,5,0,0,0,5,,Permit parking on campus,Hwy 93 S & Beck Ln ,,Male,White or Caucasian,"No (e.g., rent from private landlord, own home or condo, live with family, etc.)",Full-time,30-39,,Gas - SUV,Graduate Student,Mountain Campus (Main Campus),,Student: Full Year,,,
